sample_id,problem_id,label,span_primary_m,span_secondary_m,y,y_p,penalty_ratio,feasible_constraints,computation_successful,max_constraint_value,n_violated_constraints,violated_constraints,analysis_error,slab_depth_mm,reinforcement_spacing_lay_1_mm,reinforcement_spacing_lay_2_mm,reinforcement_spacing_lay_3_mm,reinforcement_layer_active_2_,reinforcement_layer_active_3_,reinforcement_diameter_mm,concrete_grade_MPa,beam_depth_mm,beam_reinforcement_diameter_mm,beam_reinforcement_spacing_lay_1_mm,beam_reinforcement_spacing_lay_2_mm,beam_reinforcement_layer_active_2_
1,3,h_var_8m,8.0,8.0,102.27328365438302,2777.2237182573167,27.154928628697608,False,True,2.0519167457283505,4,w_allowed_inc_|vibration_f_min_Hz|beam_bending_capacity_|beam_deflection_tinf_,,250.0,71.4,40.0,58.8,0.0,0.0,16.0,35.0,450.0,12.0,24.0,30.0,1.0
2,3,h_var_8m,8.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,25,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|vibration_f_min_Hz|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Beam analysis failed: Beam deflection integration failed: [deflection_integration] Moment value=123900000.0 is outside of the moment–curvature range of the cross-section [103699.54104560701, 106197107.18772371]",270.0,66.7,76.9,38.5,1.0,1.0,10.0,16.0,250.0,28.0,34.29,24.0,0.0
3,3,h_var_8m,8.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,25,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|vibration_f_min_Hz|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Moment–curvature calculation failed: Maximum number of iterations reached.
Last iteration reached a unbalance of:                 dn_a = -176165.82400145504 dn_b = 0.0)",160.0,250.0,76.9,100.0,0.0,0.0,12.0,25.0,450.0,10.0,120.0,21.82,0.0
4,3,h_var_8m,8.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,25,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|vibration_f_min_Hz|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Moment–curvature calculation failed: Maximum number of iterations reached.
Last iteration reached a unbalance of:                 dn_a = -279934.08348177536 dn_b = 0.0)",240.0,125.0,111.1,62.5,0.0,0.0,16.0,80.0,400.0,14.0,34.29,26.67,0.0
5,3,h_var_8m,8.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,25,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|vibration_f_min_Hz|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Deflection integration failed (M outside M–χ range): [deflection_integration] Moment value=17850000.0 is outside of the moment–curvature range of the cross-section [98059.2461536957, 0.6881213100570286]",120.0,47.6,43.5,38.5,0.0,1.0,24.0,90.0,350.0,14.0,48.0,120.0,1.0
6,3,h_var_8m,8.0,8.0,103.19927710774888,2586.855447974562,25.06660434523842,False,True,1.6917858503276857,5,w_allowed_tinf_|w_allowed_inc_|vibration_f_min_Hz|beam_bending_capacity_|beam_min_spacing_lay_1_,,190.0,62.5,62.5,58.8,1.0,0.0,10.0,70.0,500.0,14.0,24.0,24.0,0.0
7,3,h_var_8m,8.0,8.0,254.575812166734,979.9747950108855,3.8494418879396624,False,True,1.4933333333333334,2,w_allowed_inc_|beam_min_spacing_lay_1_,,380.0,52.6,71.4,71.4,0.0,1.0,20.0,90.0,550.0,28.0,40.0,20.0,0.0
8,3,h_var_8m,8.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,25,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|vibration_f_min_Hz|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Beam analysis failed: Beam deflection integration failed: [deflection_integration] Moment value=174812000.00000003 is outside of the moment–curvature range of the cross-section [91810.25359082145, 165009430.36378372]",190.0,40.0,90.9,47.6,1.0,0.0,24.0,40.0,250.0,28.0,80.0,30.0,1.0
9,3,h_var_8m,8.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,25,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|vibration_f_min_Hz|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Beam analysis failed: Beam deflection integration failed: [deflection_integration] Moment value=152892000.00000003 is outside of the moment–curvature range of the cross-section [213113.7856435613, 148101051.57004046]",190.0,47.6,40.0,55.6,1.0,0.0,14.0,45.0,500.0,10.0,120.0,34.29,1.0
10,3,h_var_8m,8.0,8.0,366.5665897469355,39590.946882968194,108.0047881895084,False,True,2.705312838910083,7,w_allowed_inc_|max_reinforcement|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_,,330.0,41.7,52.6,90.9,1.0,0.0,28.0,60.0,500.0,28.0,26.67,40.0,1.0
